City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Rio de Janeiro,UberX,COMPLETED,2022-08-28 19:13:45 +0000 UTC,2022-08-28 19:22:21 +0000 UTC,-22.903553,-43.099747,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2022-08-28 19:43:35 +0000 UTC,-22.891125,-43.00351,"Estr. da Paciência, 5707 - Rio do Ouro, São Gonçalo - RJ, 24756-151, Brasil",7.95,24.95,BRL
Rio de Janeiro,UberX,CANCELED,2022-08-28 19:09:59 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-22.90195,-43.099346,"Rua Santa Rosa, 216 - Santa Rosa - Niterói - RJ, 24240-706",1970-01-01 00:00:00 +0000 UTC,-22.89885759353638,-43.1031346321106,"R. Santa Rosa, 25 - Largo do Marrão - Niterói - RJ, 24240-220",0.00,0,BRL
Rio de Janeiro,UberX,DRIVER_CANCELED,2022-08-28 19:04:19 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-22.903149,-43.09641,"Rua Doutor Mário Viana, 346 - Niterói - Niterói - RJ, 24241-020",1970-01-01 00:00:00 +0000 UTC,-22.90317130088806,-43.09620475769043,"Rua Doutor Mário Viana, 359 - Niterói - Niterói - RJ, 24241-000",0.00,0,BRL
Rio de Janeiro,UberX,COMPLETED,2022-08-20 18:10:28 +0000 UTC,2022-08-20 18:11:33 +0000 UTC,-22.89615,-43.123768,Plaza Niterói,2022-08-20 18:25:01 +0000 UTC,-22.903355,-43.09943,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2.50,12.98,BRL
Rio de Janeiro,UberX,COMPLETED,2022-08-20 15:15:01 +0000 UTC,2022-08-20 15:17:33 +0000 UTC,-22.905613,-43.097572,"Rua Maestro José Botelho, 33 - Vital Brasil - Niterói - RJ, 24230-410",2022-08-20 15:34:01 +0000 UTC,-22.891039,-43.123753,"Av. Visconde do Rio Branco, 287 - Centro - Niterói - RJ, 24020-002",2.45,13.98,BRL
Rio de Janeiro,UberX,COMPLETED,2022-08-19 21:35:08 +0000 UTC,2022-08-19 21:42:07 +0000 UTC,-22.910479,-43.17256,"Avenida Presidente Wilson, 231 - Centro - Rio de Janeiro - RJ, 20030-070",2022-08-19 22:56:06 +0000 UTC,-22.895166,-43.099876,"Rua Noronha Torrezão, 212 - Niterói - Niterói - RJ, 24240-182",15.62,59.91,BRL
Rio de Janeiro,,UNFULFILLED,2022-08-19 21:27:51 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-22.909704,-43.169098,"Avenida Marechal Câmara, 160 - Rio de Janeiro - Rio de Janeiro - RJ, 20020-907",1970-01-01 00:00:00 +0000 UTC,-22.91101491451263,-43.17300081253052,"Av. Beira Mar - Centro - Rio de Janeiro - RJ, 20021-060",0.00,0,BRL
Rio de Janeiro,UberX,COMPLETED,2022-08-14 20:26:31 +0000 UTC,2022-08-14 20:35:05 +0000 UTC,-22.828499,-43.07159,"Rua Suzana de Almeida, 25 - Mangueira - São Gonçalo - RJ, 24435-435",2022-08-14 20:58:01 +0000 UTC,-22.903362,-43.099453,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",8.71,39.97,BRL
Rio de Janeiro,UberX,COMPLETED,2022-08-14 18:14:14 +0000 UTC,2022-08-14 18:24:24 +0000 UTC,-22.896109,-43.123783,Plaza Niterói,2022-08-14 18:41:35 +0000 UTC,-22.82852,-43.07158,"R. Joaquim de Almeida, 2 - Patronato, São Gonçalo - RJ, 24435-420, Brasil",7.55,24.97,BRL
Rio de Janeiro,UberX,COMPLETED,2022-08-14 16:00:47 +0000 UTC,2022-08-14 16:08:07 +0000 UTC,-22.903423,-43.099483,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2022-08-14 16:22:08 +0000 UTC,-22.891966,-43.123913,"Av. Visconde do Rio Branco, 360 - Centro - Niterói - RJ, 24020-002",2.32,34.96,BRL
