City;Product Type;Trip or Order Status;Request Time;Begin Trip Time;Begin Trip Lat;Begin Trip Lng;Begin Trip Address;Dropoff Time;Dropoff Lat;Dropoff Lng;Dropoff Address;Distance (miles);Fare Amount;Fare Currency
Rio de Janeiro;UberX;COMPLETED;2019-03-31 00:10:14 +0000 UTC;2019-03-31 00:14:47 +0000 UTC;0;0;Origem;2019-03-31 00:24:55 +0000 UTC;0;0;Destino;2.96;8.96;BRL
Rio de Janeiro;UberX;COMPLETED;2019-03-27 01:25:18 +0000 UTC;2019-03-27 01:30:05 +0000 UTC;0;0;Origem;2019-03-27 01:41:04 +0000 UTC;0;0;Destino;2.92;7.93;BRL
Rio de Janeiro;UberX;COMPLETED;2019-03-26 23:02:37 +0000 UTC;2019-03-26 23:07:45 +0000 UTC;0;0;Origem;2019-03-26 23:14:32 +0000 UTC;0;0;Destino;2.56;7.76;BRL
Rio de Janeiro;UberX;COMPLETED;2019-03-24 23:30:57 +0000 UTC;2019-03-24 23:46:17 +0000 UTC;0;0;Origem;2019-03-25 00:06:02 +0000 UTC;0;0;Destino;5.94;19.93;BRL
Rio de Janeiro;UberX;CANCELED;2019-03-24 23:17:17 +0000 UTC;1970-01-01 00:00:00 +0000 UTC;0;0;Origem;1970-01-01 00:00:00 +0000 UTC;0;0;Destino;0.0;7.0;BRL
Rio de Janeiro;UberX;COMPLETED;2019-03-24 20:12:09 +0000 UTC;2019-03-24 20:14:58 +0000 UTC;0;0;Origem;2019-03-24 20:21:39 +0000 UTC;0;0;Destino;0.0;9.5;BRL
Rio de Janeiro;UberX;COMPLETED;2019-03-23 22:29:38 +0000 UTC;2019-03-23 22:34:00 +0000 UTC;0;0;Origem;2019-03-23 22:43:55 +0000 UTC;0;0;Destino;2.43;9.24;BRL
Rio de Janeiro;UberX;COMPLETED;2019-03-23 20:19:41 +0000 UTC;2019-03-23 20:21:31 +0000 UTC;0;0;Origem;2019-03-23 20:34:23 +0000 UTC;0;0;Destino;2.61;9.29;BRL
Rio de Janeiro;UberX;COMPLETED;2019-02-10 17:51:42 +0000 UTC;2019-02-10 17:53:50 +0000 UTC;0;0;Origem;2019-02-10 18:04:59 +0000 UTC;0;0;Destino;6.14;12.38;BRL
Rio de Janeiro;UberX;COMPLETED;2019-02-03 21:54:24 +0000 UTC;2019-02-03 22:05:44 +0000 UTC;0;0;Origem;2019-02-03 22:25:03 +0000 UTC;0;0;Destino;6.05;17.95;BRL
Rio de Janeiro;UberX;COMPLETED;2019-02-03 17:56:23 +0000 UTC;2019-02-03 17:59:39 +0000 UTC;0;0;Origem;2019-02-03 18:13:12 +0000 UTC;0;0;Destino;6.13;16.36;BRL
Rio de Janeiro;UberX;COMPLETED;2019-02-02 21:07:15 +0000 UTC;2019-02-02 21:10:03 +0000 UTC;0;0;Origem;2019-02-02 21:21:58 +0000 UTC;0;0;Destino;2.53;9.73;BRL
Rio de Janeiro;UberX;COMPLETED;2019-02-02 14:28:55 +0000 UTC;2019-02-02 14:35:09 +0000 UTC;0;0;Origem;2019-02-02 14:42:23 +0000 UTC;0;0;Destino;1.77;7.5;BRL
Rio de Janeiro;UberX;COMPLETED;2019-01-20 19:09:48 +0000 UTC;2019-01-20 19:16:33 +0000 UTC;0;0;Origem;2019-01-20 19:48:46 +0000 UTC;0;0;Destino;15.51;52.5;BRL
Rio de Janeiro;UberX;CANCELED;2019-01-20 19:02:02 +0000 UTC;1970-01-01 00:00:00 +0000 UTC;0;0;Origem;1970-01-01 00:00:00 +0000 UTC;0;0;Destino;0.0;7.0;BRL
Rio de Janeiro;UberX;COMPLETED;2019-01-18 17:57:19 +0000 UTC;2019-01-18 18:01:27 +0000 UTC;0;0;Origem;2019-01-18 19:51:30 +0000 UTC;0;0;Destino;16.46;53.86;BRL
Sao Luis;UberX;COMPLETED;2019-01-08 23:52:01 +0000 UTC;2019-01-08 23:55:26 +0000 UTC;0;0;Origem;2019-01-09 00:10:35 +0000 UTC;0;0;Destino;3.6;0.0;BRL
Sao Luis;UberX;COMPLETED;2019-01-08 19:19:02 +0000 UTC;2019-01-08 19:35:19 +0000 UTC;0;0;Origem;2019-01-08 19:52:46 +0000 UTC;0;0;Destino;3.78;0.0;BRL
Rio de Janeiro;UberX;COMPLETED;2019-01-07 17:25:51 +0000 UTC;2019-01-07 17:29:53 +0000 UTC;0;0;Origem;2019-01-07 17:46:55 +0000 UTC;0;0;Destino;2.65;0.0;BRL
Rio de Janeiro;UberX;COMPLETED;2019-01-07 15:25:43 +0000 UTC;2019-01-07 15:28:01 +0000 UTC;0;0;Origem;2019-01-07 15:36:22 +0000 UTC;0;0;Destino;2.1;0.0;BRL
Rio de Janeiro;UberX;COMPLETED;2018-12-21 23:58:09 +0000 UTC;2018-12-22 00:02:20 +0000 UTC;0;0;Origem;2018-12-22 00:12:24 +0000 UTC;0;0;Destino;2.63;14.05;BRL
Rio de Janeiro;UberX;COMPLETED;2018-12-18 01:21:49 +0000 UTC;2018-12-18 01:28:27 +0000 UTC;0;0;Origem;2018-12-18 01:36:18 +0000 UTC;0;0;Destino;2.53;14.59;BRL
Rio de Janeiro;UberX;COMPLETED;2018-12-17 18:44:30 +0000 UTC;2018-12-17 18:51:49 +0000 UTC;0;0;Origem;2018-12-17 19:09:20 +0000 UTC;0;0;Destino;2.25;14.7;BRL
Rio de Janeiro;UberX;COMPLETED;2018-12-15 02:08:26 +0000 UTC;2018-12-15 02:09:56 +0000 UTC;0;0;Origem;2018-12-15 02:38:40 +0000 UTC;0;0;Destino;13.86;74.31;BRL
Rio de Janeiro;UberX;CANCELED;2018-12-15 01:59:43 +0000 UTC;1970-01-01 00:00:00 +0000 UTC;0;0;Origem;1970-01-01 00:00:00 +0000 UTC;0;0;Destino;0.0;7.0;BRL
Rio de Janeiro;UberX;COMPLETED;2018-12-14 00:59:41 +0000 UTC;2018-12-14 01:05:31 +0000 UTC;0;0;Origem;2018-12-14 01:18:07 +0000 UTC;0;0;Destino;2.6;7.88;BRL
Rio de Janeiro;UberX;COMPLETED;2018-12-11 23:24:37 +0000 UTC;2018-12-11 23:27:49 +0000 UTC;0;0;Origem;2018-12-11 23:46:26 +0000 UTC;0;0;Destino;7.6;19.64;BRL
Rio de Janeiro;UberX;COMPLETED;2018-12-11 11:09:49 +0000 UTC;2018-12-11 11:16:00 +0000 UTC;0;0;Origem;2018-12-11 11:24:40 +0000 UTC;0;0;Destino;1.74;7.57;BRL
Rio de Janeiro;UberX;COMPLETED;2018-12-08 00:05:48 +0000 UTC;2018-12-08 00:08:55 +0000 UTC;0;0;Origem;2018-12-08 00:19:36 +0000 UTC;0;0;Destino;3.13;8.51;BRL
