UF;Municipio;Bairro;Produto;DatadaColeta;ValordeVenda
PR;PATO BRANCO;CENTRO;ETANOL;2022-02-06;5.59
PR;PATO BRANCO;CENTRO;GASOLINA ADITIVADA;2022-02-06;7.08
PR;PATO BRANCO;CENTRO;GASOLINA;2022-02-06;6.97
RS;PORTO ALEGRE;CAVALHADA;GASOLINA ADITIVADA;2022-01-06;6.99
RS;PORTO ALEGRE;CAVALHADA;GASOLINA;2022-01-06;6.79
AC;CRUZEIRO DO SUL;CENTRO;GASOLINA;2022-01-06;7.97
AC;CRUZEIRO DO SUL;25 DE AGOSTO;GASOLINA;2022-01-06;7.97
AC;CRUZEIRO DO SUL;COPACABANA;GASOLINA ADITIVADA;2022-01-06;7.97
AC;CRUZEIRO DO SUL;COPACABANA;ETANOL;2022-01-06;6.65
AC;CRUZEIRO DO SUL;COPACABANA;GASOLINA;2022-01-06;7.97
AC;CRUZEIRO DO SUL;JOÃO ALVES;GASOLINA;2022-01-06;7.97
AC;RIO BRANCO;CALAFATE;GASOLINA ADITIVADA;2022-01-06;7.69
AC;RIO BRANCO;CALAFATE;ETANOL;2022-01-06;6.14
AC;RIO BRANCO;CALAFATE;GASOLINA;2022-01-06;7.59
AC;RIO BRANCO;ESTACAO EXPERIMENTAL;GASOLINA ADITIVADA;2022-01-06;7.54
AC;RIO BRANCO;ESTACAO EXPERIMENTAL;ETANOL;2022-01-06;6.17
AC;RIO BRANCO;ESTACAO EXPERIMENTAL;GASOLINA;2022-01-06;7.54
AC;RIO BRANCO;AVIARIO;GASOLINA;2022-02-06;7.54
AC;RIO BRANCO;AVIARIO;GASOLINA ADITIVADA;2022-02-06;7.62
AC;RIO BRANCO;CENTRO;GASOLINA ADITIVADA;2022-01-06;7.65
AC;RIO BRANCO;CENTRO;GASOLINA;2022-01-06;7.55
AC;RIO BRANCO;FLORESTA;GASOLINA ADITIVADA;2022-01-06;7.67
AC;RIO BRANCO;FLORESTA;ETANOL;2022-01-06;6.09
AC;RIO BRANCO;FLORESTA;GASOLINA;2022-01-06;7.57
AC;RIO BRANCO;VILA IVONETE;GASOLINA ADITIVADA;2022-01-06;7.54
AC;RIO BRANCO;VILA IVONETE;ETANOL;2022-01-06;6.17
AC;RIO BRANCO;VILA IVONETE;GASOLINA;2022-01-06;7.54
AC;RIO BRANCO;7 BEC;ETANOL;2022-01-06;6.09
AC;RIO BRANCO;7 BEC;GASOLINA;2022-01-06;7.49
AC;RIO BRANCO;BOSQUE;GASOLINA;2022-02-06;7.49
AC;RIO BRANCO;BOSQUE;ETANOL;2022-02-06;6.1
AC;RIO BRANCO;BOSQUE;GASOLINA ADITIVADA;2022-02-06;7.54
AC;RIO BRANCO;BAIXA DA COLINA;GASOLINA;2022-02-06;7.59
AC;RIO BRANCO;BAIXA DA COLINA;ETANOL;2022-02-06;6.14
AC;RIO BRANCO;BAIXA DA COLINA;GASOLINA ADITIVADA;2022-02-06;7.79
AC;RIO BRANCO;DISTRITO INDUSTRIAL;GASOLINA ADITIVADA;2022-01-06;7.69
AC;RIO BRANCO;DISTRITO INDUSTRIAL;ETANOL;2022-01-06;6.09
AC;RIO BRANCO;DISTRITO INDUSTRIAL;GASOLINA;2022-01-06;7.59
AC;RIO BRANCO;CONQUISTA;GASOLINA ADITIVADA;2022-01-06;7.54
AC;RIO BRANCO;CONQUISTA;GASOLINA;2022-01-06;7.49
AC;RIO BRANCO;VILA DNER;GASOLINA;2022-02-06;7.39
AC;RIO BRANCO;ISAURA PARENTE;GASOLINA ADITIVADA;2022-01-06;7.54
AC;RIO BRANCO;ISAURA PARENTE;GASOLINA;2022-01-06;7.49
AC;RIO BRANCO;CENTRO;GASOLINA;2022-02-06;7.54
AC;RIO BRANCO;CENTRO;ETANOL;2022-02-06;6.17
AC;RIO BRANCO;CENTRO;GASOLINA ADITIVADA;2022-02-06;7.64
AC;RIO BRANCO;BOSQUE;GASOLINA;2022-02-06;7.56
AC;RIO BRANCO;FLORESTA;GASOLINA ADITIVADA;2022-01-06;7.59
AC;RIO BRANCO;FLORESTA;ETANOL;2022-01-06;6.14
AC;RIO BRANCO;FLORESTA;GASOLINA;2022-01-06;7.59
AC;RIO BRANCO;SEIS DE AGOSTO;GASOLINA;2022-02-06;7.39
AC;RIO BRANCO;SEIS DE AGOSTO;ETANOL;2022-02-06;6.09
AL;PALMEIRA DOS INDIOS;JOSÉ MAIA COSTA;ETANOL;2022-02-06;5.88
AL;PALMEIRA DOS INDIOS;JOSÉ MAIA COSTA;GASOLINA ADITIVADA;2022-02-06;7.4
AL;PALMEIRA DOS INDIOS;JOSÉ MAIA COSTA;GASOLINA;2022-02-06;7.3
AL;PALMEIRA DOS INDIOS;VILA MARIA;ETANOL;2022-02-06;5.9
AL;PALMEIRA DOS INDIOS;VILA MARIA;GASOLINA ADITIVADA;2022-02-06;7.34
AL;PALMEIRA DOS INDIOS;VILA MARIA;GASOLINA;2022-02-06;7.29
AL;PALMEIRA DOS INDIOS;PALMEIRA DE FORA;GASOLINA;2022-02-06;7.19
AL;PALMEIRA DOS INDIOS;PALMEIRA DE FORA;ETANOL;2022-02-06;5.99
AL;PALMEIRA DOS INDIOS;SÃO CRISTÓVÃO;ETANOL;2022-02-06;5.99
AL;PALMEIRA DOS INDIOS;SÃO CRISTÓVÃO;GASOLINA;2022-02-06;7.29
AL;PALMEIRA DOS INDIOS;SAO CRISTOVAO;ETANOL;2022-02-06;6.15
AL;PALMEIRA DOS INDIOS;SAO CRISTOVAO;GASOLINA ADITIVADA;2022-02-06;7.45
AL;PALMEIRA DOS INDIOS;SAO CRISTOVAO;GASOLINA;2022-02-06;7.35
BA;ALAGOINHAS;CENTRO;GASOLINA ADITIVADA;2022-01-06;7.33
BA;ALAGOINHAS;CENTRO;ETANOL;2022-01-06;5.6
BA;ALAGOINHAS;CENTRO;GASOLINA;2022-01-06;7.33
BA;ALAGOINHAS;ZONA RURAL;GASOLINA ADITIVADA;2022-01-06;7.39
BA;ALAGOINHAS;ZONA RURAL;ETANOL;2022-01-06;5.69
BA;ALAGOINHAS;ZONA RURAL;GASOLINA;2022-01-06;7.39
BA;ALAGOINHAS;PRACA KENNEDY;GASOLINA ADITIVADA;2022-01-06;7.65
BA;ALAGOINHAS;PRACA KENNEDY;ETANOL;2022-01-06;5.99
BA;ALAGOINHAS;PRACA KENNEDY;GASOLINA;2022-01-06;7.59
BA;ALAGOINHAS;ALAGOINHAS VELHA;GASOLINA ADITIVADA;2022-01-06;7.49
BA;ALAGOINHAS;ALAGOINHAS VELHA;ETANOL;2022-01-06;5.89
BA;ALAGOINHAS;ALAGOINHAS VELHA;GASOLINA;2022-01-06;7.49
BA;BARREIRAS;RENATO GONÇALVES II;GASOLINA ADITIVADA;2022-01-06;7.99
BA;BARREIRAS;RENATO GONÇALVES II;ETANOL;2022-01-06;5.74
BA;BARREIRAS;NOVO HORIZONTE;ETANOL;2022-02-06;5.49
BA;BARREIRAS;NOVO HORIZONTE;GASOLINA ADITIVADA;2022-02-06;7.99
BA;ITABUNA;FATIMA;GASOLINA ADITIVADA;2022-01-06;7.99
BA;ITABUNA;FATIMA;ETANOL;2022-01-06;6.45
BA;ITABUNA;FATIMA;GASOLINA;2022-01-06;7.96
BA;ITAMARAJU;CENTRO;ETANOL;2022-01-06;5.99
BA;ITAMARAJU;CENTRO;GASOLINA;2022-01-06;8.06
BA;ITAMARAJU;SEDE;GASOLINA ADITIVADA;2022-01-06;8.19
BA;ITAMARAJU;SEDE;ETANOL;2022-01-06;6.09
BA;ITAMARAJU;SEDE;GASOLINA;2022-01-06;8.09
BA;ITAMARAJU;CENTRO;GASOLINA ADITIVADA;2022-01-06;8.14
BA;ITAMARAJU;CENTRO;GASOLINA;2022-01-06;8.06
BA;JACOBINA;CATUABA;GASOLINA ADITIVADA;2022-01-06;7.84
BA;JACOBINA;CATUABA;ETANOL;2022-01-06;5.99
BA;JACOBINA;CATUABA;GASOLINA;2022-01-06;7.74
BA;JACOBINA;CENTRO;GASOLINA ADITIVADA;2022-01-06;8.04
BA;JACOBINA;CENTRO;GASOLINA;2022-01-06;7.75
BA;JACOBINA;NAZARE;GASOLINA ADITIVADA;2022-01-06;7.75
BA;JACOBINA;NAZARE;ETANOL;2022-01-06;5.95
BA;JACOBINA;NAZARE;GASOLINA;2022-01-06;7.75
BA;JEQUIE;CENTRO;GASOLINA;2022-02-06;7.79
BA;JEQUIE;CENTRO;ETANOL;2022-02-06;5.95
BA;JEQUIE;CENTRO;GASOLINA ADITIVADA;2022-02-06;7.79
BA;JEQUIE;CENTRO;GASOLINA;2022-02-06;7.79
BA;JEQUIE;CENTRO;ETANOL;2022-02-06;5.99
BA;JEQUIE;CENTRO;GASOLINA ADITIVADA;2022-02-06;7.79
BA;JEQUIE;CENTRO;GASOLINA;2022-02-06;7.82
BA;JEQUIE;CENTRO;ETANOL;2022-02-06;5.99
BA;JEQUIE;CENTRO;GASOLINA ADITIVADA;2022-02-06;7.92
BA;JEQUIE;CENTRO;GASOLINA;2022-02-06;7.83
BA;JEQUIE;CENTRO;ETANOL;2022-02-06;5.96
BA;JEQUIE;CENTRO;GASOLINA ADITIVADA;2022-02-06;7.83
BA;JEQUIE;CENTRO;GASOLINA;2022-02-06;7.79
BA;JEQUIE;CENTRO;ETANOL;2022-02-06;5.94
BA;JEQUIE;CENTRO;GASOLINA ADITIVADA;2022-02-06;7.79
BA;JEQUIE;JEQUIEZINHO;GASOLINA;2022-02-06;7.79
BA;JEQUIE;JEQUIEZINHO;ETANOL;2022-02-06;5.95
BA;POCOES;SANTA RITA;ETANOL;2022-01-06;6.3
BA;POCOES;SANTA RITA;GASOLINA;2022-01-06;7.99
BA;POCOES;CENTRO;ETANOL;2022-01-06;6.3
BA;POCOES;CENTRO;GASOLINA;2022-01-06;7.99
BA;PORTO SEGURO;CENTRO;GASOLINA ADITIVADA;2022-01-06;8.42
BA;PORTO SEGURO;CENTRO;ETANOL;2022-01-06;6.45
BA;PORTO SEGURO;CENTRO;GASOLINA;2022-01-06;8.32
BA;PORTO SEGURO;CENTRO;GASOLINA ADITIVADA;2022-01-06;8.4
BA;PORTO SEGURO;CENTRO;ETANOL;2022-01-06;6.65
BA;PORTO SEGURO;CENTRO;GASOLINA;2022-01-06;8.4
BA;PORTO SEGURO;CAMBOLO;GASOLINA ADITIVADA;2022-01-06;8.18
BA;PORTO SEGURO;CAMBOLO;ETANOL;2022-01-06;6.37
BA;PORTO SEGURO;CAMBOLO;GASOLINA;2022-01-06;8.18
BA;PORTO SEGURO;MIRANTE CARAVELAS;GASOLINA ADITIVADA;2022-01-06;8.39
BA;PORTO SEGURO;MIRANTE CARAVELAS;ETANOL;2022-01-06;6.39
BA;PORTO SEGURO;MIRANTE CARAVELAS;GASOLINA;2022-01-06;8.29
BA;PORTO SEGURO;TABAPIRI;GASOLINA ADITIVADA;2022-01-06;8.52
BA;PORTO SEGURO;TABAPIRI;ETANOL;2022-01-06;6.55
BA;PORTO SEGURO;TABAPIRI;GASOLINA;2022-01-06;8.42
BA;SALVADOR;NAZARÉ;GASOLINA ADITIVADA;2022-01-06;7.05
BA;SALVADOR;NAZARÉ;ETANOL;2022-01-06;5.45
BA;SALVADOR;NAZARÉ;GASOLINA;2022-01-06;7.05
BA;SALVADOR;STIEP;GASOLINA ADITIVADA;2022-01-06;7.59
BA;SALVADOR;STIEP;ETANOL;2022-01-06;5.59
BA;SALVADOR;STIEP;GASOLINA;2022-01-06;7.25
BA;CAMACARI;AREMBEPE (ABRANTES);GASOLINA ADITIVADA;2022-01-06;7.05
BA;CAMACARI;AREMBEPE (ABRANTES);ETANOL;2022-01-06;5.45
BA;CAMACARI;AREMBEPE (ABRANTES);GASOLINA;2022-01-06;7.05
BA;SALVADOR;VASCO DA GAMA;GASOLINA ADITIVADA;2022-01-06;7.49
BA;SALVADOR;VASCO DA GAMA;ETANOL;2022-01-06;5.51
BA;SALVADOR;VASCO DA GAMA;GASOLINA;2022-01-06;7.09
BA;SALVADOR;SANTA TERESA;GASOLINA ADITIVADA;2022-01-06;7.99
BA;SALVADOR;SANTA TERESA;ETANOL;2022-01-06;5.79
BA;SALVADOR;SANTA TERESA;GASOLINA;2022-01-06;7.79
BA;SALVADOR;HORTO FLORESTAL;GASOLINA ADITIVADA;2022-01-06;7.69
BA;SALVADOR;HORTO FLORESTAL;ETANOL;2022-01-06;5.89
BA;SALVADOR;HORTO FLORESTAL;GASOLINA;2022-01-06;7.49
BA;SALVADOR;PITUBA;GASOLINA ADITIVADA;2022-01-06;7.45
BA;SALVADOR;PITUBA;ETANOL;2022-01-06;5.45
BA;SALVADOR;PITUBA;GASOLINA;2022-01-06;7.15
BA;SALVADOR;RIO VERMELHO;GASOLINA ADITIVADA;2022-01-06;7.35
BA;SALVADOR;RIO VERMELHO;ETANOL;2022-01-06;5.45
BA;SALVADOR;RIO VERMELHO;GASOLINA;2022-01-06;7.05
BA;SALVADOR;MATATU;GASOLINA ADITIVADA;2022-01-06;7.29
BA;SALVADOR;MATATU;ETANOL;2022-01-06;5.49
BA;SALVADOR;MATATU;GASOLINA;2022-01-06;7.09
BA;SALVADOR;CANELA;GASOLINA ADITIVADA;2022-01-06;7.69
BA;SALVADOR;CANELA;ETANOL;2022-01-06;5.69
BA;SALVADOR;BOCA DO RIO;GASOLINA ADITIVADA;2022-01-06;7.15
BA;SALVADOR;BOCA DO RIO;ETANOL;2022-01-06;5.49
BA;SALVADOR;BOCA DO RIO;GASOLINA;2022-01-06;7.15
BA;SALVADOR;RIO VERMELHO;GASOLINA ADITIVADA;2022-01-06;7.39
BA;SALVADOR;RIO VERMELHO;ETANOL;2022-01-06;5.61
BA;SALVADOR;RIO VERMELHO;GASOLINA;2022-01-06;7.29
BA;SALVADOR;COSTA AZUL;GASOLINA ADITIVADA;2022-01-06;7.45
BA;SALVADOR;COSTA AZUL;ETANOL;2022-01-06;5.45
BA;SALVADOR;COSTA AZUL;GASOLINA;2022-01-06;7.15
BA;SALVADOR;SETE PORTAS;ETANOL;2022-01-06;5.45
BA;SALVADOR;SETE PORTAS;GASOLINA;2022-01-06;7.05
BA;SALVADOR;BONOCO;GASOLINA ADITIVADA;2022-01-06;7.19
BA;SALVADOR;BONOCO;ETANOL;2022-01-06;5.45
BA;SALVADOR;BONOCO;GASOLINA;2022-01-06;7.07
BA;SALVADOR;RIO VERMELHO;GASOLINA ADITIVADA;2022-01-06;7.59
BA;SALVADOR;RIO VERMELHO;ETANOL;2022-01-06;5.89
BA;SALVADOR;RIO VERMELHO;GASOLINA;2022-01-06;7.29
BA;SALVADOR;BARRA;GASOLINA ADITIVADA;2022-01-06;7.15
BA;SALVADOR;BARRA;ETANOL;2022-01-06;5.45
BA;SALVADOR;BARRA;GASOLINA;2022-01-06;7.15
BA;SALVADOR;ONDINA;GASOLINA ADITIVADA;2022-01-06;7.15
BA;SALVADOR;ONDINA;ETANOL;2022-01-06;5.45
BA;SALVADOR;ONDINA;GASOLINA;2022-01-06;7.15
BA;SALVADOR;PITUBA;GASOLINA ADITIVADA;2022-01-06;7.59
BA;SALVADOR;PITUBA;ETANOL;2022-01-06;5.69
BA;SALVADOR;PITUBA;GASOLINA;2022-01-06;7.29
BA;SALVADOR;NAZARE;GASOLINA ADITIVADA;2022-01-06;7.87
BA;SALVADOR;NAZARE;ETANOL;2022-01-06;5.79
BA;SALVADOR;NAZARE;GASOLINA;2022-01-06;7.67
BA;SALVADOR;RIO VERMELHO;GASOLINA ADITIVADA;2022-01-06;7.05
BA;SALVADOR;RIO VERMELHO;ETANOL;2022-01-06;5.45
BA;SALVADOR;RIO VERMELHO;GASOLINA;2022-01-06;7.05
BA;SALVADOR;ITAIGARA;GASOLINA ADITIVADA;2022-01-06;7.59
BA;SALVADOR;ITAIGARA;ETANOL;2022-01-06;5.79
BA;SALVADOR;ITAIGARA;GASOLINA;2022-01-06;7.29
BA;SALVADOR;ONDINA;GASOLINA ADITIVADA;2022-01-06;7.11
BA;SALVADOR;ONDINA;ETANOL;2022-01-06;5.41
BA;SALVADOR;ONDINA;GASOLINA;2022-01-06;7.11
BA;SALVADOR;BROTAS;GASOLINA ADITIVADA;2022-01-06;7.29
BA;SALVADOR;BROTAS;ETANOL;2022-01-06;5.65
BA;SALVADOR;BROTAS;GASOLINA;2022-01-06;7.29
BA;SALVADOR;BROTAS;GASOLINA ADITIVADA;2022-01-06;7.209
BA;SALVADOR;BROTAS;ETANOL;2022-01-06;5.49
BA;SALVADOR;BROTAS;GASOLINA;2022-01-06;7.09
BA;SALVADOR;FEDERACAO;GASOLINA ADITIVADA;2022-01-06;7.59
BA;SALVADOR;FEDERACAO;ETANOL;2022-01-06;5.69
BA;SALVADOR;FEDERACAO;GASOLINA;2022-01-06;7.29
BA;SALVADOR;BONOCO;GASOLINA ADITIVADA;2022-01-06;7.05
BA;SALVADOR;BONOCO;ETANOL;2022-01-06;5.45
BA;SALVADOR;BONOCO;GASOLINA;2022-01-06;7.05
BA;SALVADOR;HORTO FLORESTAL;GASOLINA ADITIVADA;2022-01-06;7.48
BA;SALVADOR;HORTO FLORESTAL;ETANOL;2022-01-06;5.68
BA;SALVADOR;HORTO FLORESTAL;GASOLINA;2022-01-06;7.28
BA;SALVADOR;FEDERAÇÃO;GASOLINA ADITIVADA;2022-01-06;7.49
BA;SALVADOR;FEDERAÇÃO;ETANOL;2022-01-06;5.79
BA;SALVADOR;FEDERAÇÃO;GASOLINA;2022-01-06;7.29
BA;SALVADOR;PARQUE BELA VISTA;GASOLINA ADITIVADA;2022-01-06;7.05
BA;SALVADOR;PARQUE BELA VISTA;ETANOL;2022-01-06;5.45
BA;SALVADOR;PARQUE BELA VISTA;GASOLINA;2022-01-06;7.05
BA;SALVADOR;NAZARÉ;GASOLINA ADITIVADA;2022-01-06;7.29
BA;SALVADOR;NAZARÉ;ETANOL;2022-01-06;5.59
BA;SALVADOR;NAZARÉ;GASOLINA;2022-01-06;7.19
CE;CRATO;CENTRO;GASOLINA;2022-01-06;7.599
CE;CRATO;SEMINARIO;GASOLINA ADITIVADA;2022-01-06;7.75
CE;CRATO;SEMINARIO;ETANOL;2022-01-06;6.39
CE;CRATO;SEMINARIO;GASOLINA;2022-01-06;7.69
CE;CRATO;SAO MIGUEL;GASOLINA ADITIVADA;2022-01-06;7.66
CE;CRATO;SAO MIGUEL;ETANOL;2022-01-06;6.19
CE;CRATO;SAO MIGUEL;GASOLINA;2022-01-06;7.66
CE;CRATO;SAO MIGUEL;GASOLINA ADITIVADA;2022-01-06;7.79
CE;CRATO;SAO MIGUEL;ETANOL;2022-01-06;6.2
CE;CRATO;SAO MIGUEL;GASOLINA;2022-01-06;7.69
CE;CRATO;SAO MIGUEL;GASOLINA;2022-01-06;7.48
CE;CRATO;SAO MIGUEL;GASOLINA ADITIVADA;2022-01-06;7.69
CE;CRATO;SAO MIGUEL;ETANOL;2022-01-06;6.29
CE;CRATO;SAO MIGUEL;GASOLINA;2022-01-06;7.69
CE;LIMOEIRO DO NORTE;CENTRO;GASOLINA ADITIVADA;2022-01-06;7.96
CE;LIMOEIRO DO NORTE;CENTRO;ETANOL;2022-01-06;6.69
CE;LIMOEIRO DO NORTE;CENTRO;GASOLINA;2022-01-06;7.96
CE;MARACANAU;PARQUE LUZARDO VIANA;ETANOL;2022-02-06;6.29
CE;MARACANAU;PARQUE LUZARDO VIANA;GASOLINA ADITIVADA;2022-02-06;7.17
CE;MARACANAU;PARQUE LUZARDO VIANA;GASOLINA;2022-02-06;6.97
CE;MARACANAU;KAGADO;ETANOL;2022-02-06;5.97
CE;MARACANAU;KAGADO;GASOLINA;2022-02-06;6.99
CE;MARACANAU;PIRATININGA;ETANOL;2022-02-06;5.97
CE;MARACANAU;PIRATININGA;GASOLINA ADITIVADA;2022-02-06;7.19
CE;MARACANAU;PIRATININGA;GASOLINA;2022-02-06;7.19
CE;MARACANAU;SIQUEIRA II;GASOLINA ADITIVADA;2022-01-06;7.29
CE;MARACANAU;SIQUEIRA II;ETANOL;2022-01-06;6.27
CE;MARACANAU;SIQUEIRA II;GASOLINA;2022-01-06;7.19
DF;BRASILIA;AREA DE DESENVOLVIMENTO ECONOMICO (AGUAS CLARAS);ETANOL;2022-01-06;5.99
DF;BRASILIA;AREA DE DESENVOLVIMENTO ECONOMICO (AGUAS CLARAS);GASOLINA;2022-01-06;6.95
DF;BRASILIA;TAGUATINGA;GASOLINA ADITIVADA;2022-01-06;7.69
DF;BRASILIA;TAGUATINGA;ETANOL;2022-01-06;5.89
DF;BRASILIA;TAGUATINGA;GASOLINA;2022-01-06;6.99
DF;BRASILIA;CEILANDIA;GASOLINA ADITIVADA;2022-01-06;7.19
DF;BRASILIA;CEILANDIA;ETANOL;2022-01-06;5.89
DF;BRASILIA;CEILANDIA;GASOLINA;2022-01-06;7.19
DF;BRASILIA;AGUAS CLARAS;GASOLINA ADITIVADA;2022-01-06;7.59
DF;BRASILIA;AGUAS CLARAS;ETANOL;2022-01-06;5.99
DF;BRASILIA;AGUAS CLARAS;GASOLINA;2022-01-06;6.99
DF;BRASILIA;SAMAMBAIA;GASOLINA ADITIVADA;2022-01-06;7.34
DF;BRASILIA;SAMAMBAIA;ETANOL;2022-01-06;5.99
DF;BRASILIA;SAMAMBAIA;GASOLINA;2022-01-06;7.34
DF;BRASILIA;SAMAMBAIA;GASOLINA ADITIVADA;2022-01-06;7.09
DF;BRASILIA;SAMAMBAIA;ETANOL;2022-01-06;5.89
DF;BRASILIA;SAMAMBAIA;GASOLINA;2022-01-06;7.09
DF;BRASILIA;SAMAMBAIA;GASOLINA ADITIVADA;2022-01-06;7.08
DF;BRASILIA;SAMAMBAIA;ETANOL;2022-01-06;5.98
DF;BRASILIA;SAMAMBAIA;GASOLINA;2022-01-06;7.08
DF;BRASILIA;AREAL (AGUAS CLARAS);GASOLINA ADITIVADA;2022-01-06;7.79
DF;BRASILIA;AREAL (AGUAS CLARAS);ETANOL;2022-01-06;5.99
DF;BRASILIA;AREAL (AGUAS CLARAS);GASOLINA;2022-01-06;7.69
DF;BRASILIA;SAMAMBAIA;ETANOL;2022-01-06;5.99
DF;BRASILIA;SAMAMBAIA;GASOLINA;2022-01-06;7.19
DF;BRASILIA;AGUAS CLARAS;GASOLINA ADITIVADA;2022-01-06;7.39
DF;BRASILIA;AGUAS CLARAS;ETANOL;2022-01-06;5.99
DF;BRASILIA;AGUAS CLARAS;GASOLINA;2022-01-06;7.39
DF;BRASILIA;TAGUATINGA;GASOLINA ADITIVADA;2022-01-06;7.24
DF;BRASILIA;TAGUATINGA;ETANOL;2022-01-06;6.59
DF;BRASILIA;TAGUATINGA;GASOLINA;2022-01-06;7.14
DF;BRASILIA;SAMAMBAIA SUL;GASOLINA ADITIVADA;2022-01-06;7.08
DF;BRASILIA;SAMAMBAIA SUL;ETANOL;2022-01-06;5.98
DF;BRASILIA;SAMAMBAIA SUL;GASOLINA;2022-01-06;7.08
DF;BRASILIA;TAGUATINGA;GASOLINA ADITIVADA;2022-01-06;7.18
DF;BRASILIA;TAGUATINGA;ETANOL;2022-01-06;5.89
DF;BRASILIA;TAGUATINGA;GASOLINA;2022-01-06;7.18
DF;BRASILIA;TAGUATINGA CENTRO (TAGUATINGA);GASOLINA ADITIVADA;2022-01-06;8.19
DF;BRASILIA;TAGUATINGA CENTRO (TAGUATINGA);ETANOL;2022-01-06;6.09
DF;BRASILIA;TAGUATINGA CENTRO (TAGUATINGA);GASOLINA;2022-01-06;7.69
DF;BRASILIA;TAGUATINGA CENTRO (TAGUATINGA);ETANOL;2022-01-06;5.99
DF;BRASILIA;TAGUATINGA CENTRO (TAGUATINGA);GASOLINA;2022-01-06;6.95
ES;ARACRUZ;DE CALI;ETANOL;2022-02-06;6.399
ES;ARACRUZ;DE CALI;GASOLINA ADITIVADA;2022-02-06;7.299
ES;ARACRUZ;DE CALI;GASOLINA;2022-02-06;7.299
ES;ARACRUZ;CENTRO;ETANOL;2022-02-06;6.39
ES;ARACRUZ;CENTRO;GASOLINA ADITIVADA;2022-02-06;7.38
ES;ARACRUZ;CENTRO;GASOLINA;2022-02-06;7.28
ES;GUARAPARI;MUQUICABA;GASOLINA ADITIVADA;2022-01-06;7.84
ES;GUARAPARI;MUQUICABA;ETANOL;2022-01-06;5.97
ES;GUARAPARI;MUQUICABA;GASOLINA;2022-01-06;7.84
ES;GUARAPARI;PARQUE AREIA PRETA;GASOLINA ADITIVADA;2022-01-06;7.57
ES;GUARAPARI;PARQUE AREIA PRETA;ETANOL;2022-01-06;6.29
ES;GUARAPARI;PARQUE AREIA PRETA;GASOLINA;2022-01-06;7.35
ES;LINHARES;CENTRO;GASOLINA ADITIVADA;2022-01-06;7.19
ES;LINHARES;CENTRO;GASOLINA;2022-01-06;6.99
ES;LINHARES;AVISO;GASOLINA ADITIVADA;2022-01-06;7.39
ES;LINHARES;AVISO;GASOLINA;2022-01-06;7.29
ES;SAO MATEUS;GURIRI;GASOLINA ADITIVADA;2022-01-06;7.79
ES;SAO MATEUS;GURIRI;GASOLINA;2022-01-06;7.69
ES;SAO MATEUS;FORNO VELHO;GASOLINA ADITIVADA;2022-01-06;7.69
ES;SAO MATEUS;FORNO VELHO;ETANOL;2022-01-06;6.45
ES;SAO MATEUS;FORNO VELHO;GASOLINA;2022-01-06;7.69
ES;SERRA;CARAPINA;ETANOL;2022-02-06;5.959
ES;SERRA;CARAPINA;GASOLINA ADITIVADA;2022-02-06;7.239
ES;SERRA;CARAPINA;GASOLINA;2022-02-06;7.139
ES;SERRA;PORTO CANOA;GASOLINA ADITIVADA;2022-01-06;7.299
ES;SERRA;PORTO CANOA;ETANOL;2022-01-06;6.299
ES;SERRA;PORTO CANOA;GASOLINA;2022-01-06;7.199
ES;SERRA;PLANICIE DA SERRA;GASOLINA ADITIVADA;2022-01-06;7.299
ES;SERRA;PLANICIE DA SERRA;ETANOL;2022-01-06;6.299
ES;SERRA;PLANICIE DA SERRA;GASOLINA;2022-01-06;7.199
ES;SERRA;CARAPINA;ETANOL;2022-02-06;6.799
ES;SERRA;CARAPINA;GASOLINA ADITIVADA;2022-02-06;7.399
ES;SERRA;CARAPINA;GASOLINA;2022-02-06;7.299
ES;SERRA;CARAPINA GRANDE;GASOLINA ADITIVADA;2022-02-06;7.399
ES;SERRA;CARAPINA GRANDE;GASOLINA;2022-02-06;7.299
ES;VILA VELHA;COBILANDIA;ETANOL;2022-02-06;6.19
ES;VILA VELHA;COBILANDIA;GASOLINA ADITIVADA;2022-02-06;7.49
ES;VILA VELHA;COBILANDIA;GASOLINA;2022-02-06;7.29
ES;VILA VELHA;COBILANDIA;ETANOL;2022-02-06;5.58
ES;VILA VELHA;COBILANDIA;GASOLINA;2022-02-06;7.26
ES;VILA VELHA;SANTA INEZ;ETANOL;2022-02-06;6.19
ES;VILA VELHA;SANTA INEZ;GASOLINA ADITIVADA;2022-02-06;7.49
ES;VILA VELHA;SANTA INEZ;GASOLINA;2022-02-06;7.29
ES;VILA VELHA;ARIBIRI;ETANOL;2022-02-06;5.79
ES;VILA VELHA;ARIBIRI;GASOLINA ADITIVADA;2022-02-06;7.33
ES;VILA VELHA;ARIBIRI;GASOLINA;2022-02-06;7.26
ES;VILA VELHA;SANTA INES;ETANOL;2022-02-06;5.99
ES;VILA VELHA;SANTA INES;GASOLINA ADITIVADA;2022-02-06;7.49
ES;VILA VELHA;SANTA INES;GASOLINA;2022-02-06;7.29
ES;VILA VELHA;ALECRIM;ETANOL;2022-02-06;5.89
ES;VILA VELHA;ALECRIM;GASOLINA ADITIVADA;2022-02-06;7.42
ES;VILA VELHA;ALECRIM;GASOLINA;2022-02-06;7.27
ES;VILA VELHA;ALVORADA;ETANOL;2022-02-06;5.99
