NOME_ATIVO,DATA_NEGOCIACAO,ANO,MES,DIA,ANOMES,VALOR_ABERTURA,VALOR_MAIOR_NEGOCIACAO,VALOR_MENOR_NEGOCIACAO,VALOR_FECHAMENTO,VALOR_FECHAMENTO_AJUSTADO,VOLUME_NEGOCIADO,DATA_EXTRACAO
PETR4.SA,2018-01-02,2018,01,02,2018-01,16.190000534057617,16.549999237060547,16.190000534057617,16.549999237060547,5.868194103240967,33461800,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-03,2018,01,03,2018-01,16.489999771118164,16.719999313354492,16.3700008392334,16.700000762939453,5.921381950378418,55940900,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-04,2018,01,04,2018-01,16.780000686645508,16.959999084472656,16.6200008392334,16.729999542236328,5.932019710540772,37064900,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-05,2018,01,05,2018-01,16.700000762939453,16.860000610351562,16.56999969482422,16.829999923706055,5.967475414276123,26958200,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-08,2018,01,08,2018-01,16.739999771118164,17.030000686645508,16.709999084472656,17.030000686645508,6.038390636444092,28400000,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-09,2018,01,09,2018-01,17.030000686645508,17.15999984741211,16.959999084472656,17.030000686645508,6.038390636444092,35070900,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-10,2018,01,10,2018-01,16.920000076293945,17.049999237060547,16.770000457763672,16.799999237060547,5.956836223602295,28547700,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-11,2018,01,11,2018-01,16.8799991607666,17.299999237060547,16.84000015258789,17.25,6.116395950317383,37921500,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-12,2018,01,12,2018-01,17.040000915527344,17.40999984741211,17.020000457763672,17.299999237060547,6.134125232696533,45912100,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-15,2018,01,15,2018-01,17.31999969482422,17.440000534057617,17.149999618530273,17.350000381469727,6.151852130889893,28945400,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-16,2018,01,16,2018-01,17.350000381469727,17.84000015258789,17.299999237060547,17.649999618530273,6.258225440979004,58618300,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-17,2018,01,17,2018-01,17.920000076293945,18.36000061035156,17.809999465942383,18.36000061035156,6.509974956512451,58488900,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-18,2018,01,18,2018-01,18.350000381469727,18.530000686645508,17.93000030517578,18.21999931335449,6.460332870483398,48575800,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-19,2018,01,19,2018-01,18.309999465942383,18.420000076293945,18.030000686645508,18.26000022888184,6.474515914916992,33470200,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-22,2018,01,22,2018-01,18.26000022888184,18.46999931335449,18.09000015258789,18.46999931335449,6.548975467681885,33920000,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-23,2018,01,23,2018-01,18.399999618530277,18.459999084472656,18.0,18.239999771118164,6.467423915863037,35567700,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-24,2018,01,24,2018-01,18.420000076293945,19.6299991607666,18.420000076293945,19.34000015258789,6.857454776763916,89768200,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-25,2018,01,25,2018-01,19.34000015258789,19.34000015258789,19.34000015258789,19.34000015258789,6.857454776763916,0,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-26,2018,01,26,2018-01,19.6200008392334,19.979999542236328,19.100000381469727,19.93000030517578,7.066653728485107,81989500,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-29,2018,01,29,2018-01,19.670000076293945,20.049999237060547,19.56999969482422,19.850000381469727,7.038288116455078,55726200,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-30,2018,01,30,2018-01,19.770000457763672,19.770000457763672,19.36000061035156,19.489999771118164,6.910641193389893,46203000,2023-09-07 01:29:17.225393
PETR4.SA,2018-01-31,2018,01,31,2018-01,19.739999771118164,19.93000030517578,19.68000030517578,19.700000762939453,6.98510217666626,41576600,2023-09-07 01:29:17.225393
PETR4.SA,2018-02-01,2018,02,01,2018-02,19.76000022888184,20.6200008392334,19.76000022888184,20.520000457763672,7.275852680206299,51950200,2023-09-07 01:29:17.225393
PETR4.SA,2018-02-02,2018,02,02,2018-02,20.299999237060547,20.420000076293945,19.850000381469727,19.96999931335449,7.080836772918701,50657800,2023-09-07 01:29:17.225393
PETR4.SA,2018-02-05,2018,02,05,2018-02,19.649999618530277,19.96999931335449,19.040000915527344,19.040000915527344,6.7510833740234375,62268600,2023-09-07 01:29:17.225393
